Original_text,Attack_text
"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches.","I have been experiencing a reddened skin on my arms, legs, and torso for the past few weeks. It is pruritic and covered in flaky patches."
"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation.","My skin has been exfoliating, especially on my knees, elbows, and scalp. This exfoliation is often accompanied by a burning feeling or burning."
"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints.","I have been experiencing Finger pain, Wrist pain, and Knee pain. The pain is often Soreness and Pulsating, and it aggravates when I move my joints."
"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.","There is a silvery sheen on my skin, especially localised on my lower back and scalp. This sheen is made up of dandruff that flakes off easily when I scratch them."
"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms.","'My nails have nail pitting, and they often feel swollen and sore to the touch. Even there are skin irritations on my arms.'"
"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches.","I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is Inflammation, Pruritus, and covered in Flaky patches."
"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation.","My skin has been desquamating, especially on my knees, elbows, and scalp. This desquamation is often accompanied by a stinging or burning sensation."
"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints.","""I have been experiencing Arthritis in my fingers, Wrist pain, and Knee pain. The pain is often Pulsating, and it exacerbates with joint movement."""
"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.","There is a shimmer on my skin, especially on my ache and scalp. This shimmer is made up of dandruff that flakes off easily when I scratch them. I also experience pruritus in these areas."
"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms.","My nails have grooves in them, and they often feel painful and tender to the touch. Even there are skin irritations on my arms."
The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily.,The calluses on my palms and soles have fissures that are causing fractures and easily bleeding fissures.
"The skin around my mouth, nose, and eyes is red and inflamed. It is often itchy and uncomfortable. There is a noticeable inflammation in my nails.","The skin around my mouth, nose, and eyes shows signs of Erythema. It is often accompanied by Pruritus and discomfort. There is a noticeable Swelling in my nails."
My skin is very sensitive and reacts easily to changes in temperature or humidity. I often have to be careful about what products I use on my skin.,My skin is very reactive and reacts easily to changes in thermoregulation or moisture sensitivity. I often have to be sensitive about what products I use on my skin.
"I have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back. Also, I face severe joint pain and skin rashes.","I have noticed a sudden exfoliation at different parts of my body, mainly arms, legs and back. Also, I face intense joint pain and dermatitis."
"The skin on my genitals is red and inflamed. It is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too.","The skin on my genitals is erythematous and inflamed. It is often pruritic, stinging, and painful. There are skin eruptions on different parts of the body too."
"I have experienced fatigue and a general feeling of malaise. I often feel tired and have a lack of energy, even after a good night's sleep.","I have experienced tiredness and a general feeling of fatigue. I often feel fatigued and have a lack of energy, even after a good night's sleep."
"The rash on my skin has spread to other parts of my body, including my chest and abdomen. It is itchy and uncomfortable, and it is often worse at night. I am also facing skin peeling.","The skin eruption has spread to other parts of my body, including my chest and abdomen. It is irritated and uncomfortable, and it is often aggravated in the evening. I am also facing skin exfoliation."
The rash on my skin is worse in the winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated.,The skin eruption is exacerbated in the winter months when dehydration is more prominent. I find that I have to moisturize more frequently and use humidifiers to combat dry skin.
"I have experienced difficulty sleeping due to the itching and discomfort caused by the rash. There are small dents in my nails, which is really concerning.","I have experienced insomnia caused by the itching and discomfort from the rash. There are pitting in my nails, which is really concerning."
"My skin is prone to infections due to dry, flaky patches. I am experiencing a strong pain in my joints. The skin on my knees and elbows is starting to peel off.",Dermatitis. Experiencing severe joint pain. Skin desquamation on knees and elbows.
"I am starting to have rashes on my skin. The rash often bleeds when I scratch or rub it. Moreover, I have noticed small dents in my nails.","I am starting to have skin abrasions. The abrasions often hemorrhage when I scratch or rub them. Moreover, I have noticed pitting in my nails."
"I have noticed that my skin has become more sensitive than it used to be. There is a silver like dusting on my skin, especially on my back and elbows.","I have noticed that I have developed skin sensitivity. There is silvery scaling on my skin, especially on my back and elbows."
"I am worried about the constant peeling of the skin on my palm, elbow and knee. I have developed rashes on my arms, which itch if I touch them. All of these are making my life quite discomforting and miserable.","I am worried about the exfoliation of the skin on my palm, elbow, and knee. I have developed skin lesions on my arms, which pruritus if I touch them. All of these are making my life quite discomforting and miserable."
"There is strange pain in my joints. Also, I have noticed strange peeling of skin in different parts of my body. I am afraid there is something wrong going on with my body.","There is an ache in my joints. Also, I have noticed skin shedding in different parts of my body. I am afraid there is something wrong going on with my body."
"My nails have small dents on them. Even my joints have started to pain severely. There is a silver like dusting on my skin, particularly in my back.","'My nails have indentations on them. Even my joints have started to experience agonizing pain. There is a shimmering dustiness on my skin, particularly in my back.'"
"The rashes on my skin are not healing. Moreover, I have noticed a sudden peeling of the skin, especially the skin on my elbows and knees. I am really worried about this.","The persistent skin inflammation is concerning, and I have also noticed sudden skin shedding, especially on my elbows and knees. I am really worried about this."
"For the past few weeks, I've had a skin rash on my arms, legs, and chest. It's red and irritating, with dry, scaly spots. I have a strange pain in my joints too.","For the past few weeks, I've had dermatitis on my arms, legs, and chest. It's inflamed and irritating, with flaky spots. I have unusual discomfort in my joints too."
"My skin is peeling, particularly on my knees, elbows, and scalp. This peeling is frequently accompanied by a stinging or burning feeling.","My skin is exfoliating, particularly on my knees, elbows, and scalp. This exfoliation is frequently accompanied by a burning or heated sensation."
"I'm having joint discomfort in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints.","I'm having finger pain, wrist pain, and knee pain. The pain is frequently sore and pulsating, and it worsens when I move my joints."
"My skin has a silvery film, particularly on my back, arms and scalp. This dusting is composed of tiny scales that easily peel off when scratched.","The patient presents with a shiny film on the skin, itching on the back, arms, and scalp, fine flakes composed of tiny scales, and desquamation upon scratching."
"I have red and inflammatory skin around my mouth, nose, and eyes. It is frequently irritating and unpleasant. Recently, it has got very painful.","I have Erythema around my mouth, nose, and eyes. It is annoying and unpleasant. Recently, it has become excruciatingly painful."
My skin is extremely sensitive and quickly irritated by changes in temperature or humidity. My nails have developed dents on them. I am worried about this sudden change.,My skin has hyperesthesia and is sensitive to weather changes. My nails have developed nail pitting. I am worried about this sudden change.
"I've seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back. In addition, I have significant joint pain and skin rashes. The rash is spreading to different parts of my body.","I've experienced skin detachment on various regions of my body, mostly my arms, legs, and back. In addition, I have severe joint pain and eruption. The rash is spreading to different parts of my body."
"My genital skin is red and irritated. It is frequently irritating, burning, and unpleasant. There are also rashes in various places of the body. Also, I have a strange pain in my joints.","My genital skin is inflamed and uncomfortable. It is frequently discomforting, burning, and unpleasant. There is also skin irritation in various places of the body. Additionally, I have an unusual discomfort in my joints."
"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. There is a noticeable inflammation in my nails.","I've had trouble sleeping because of the pruritus and pain produced by the rash. My nails have nail pitting, which is really alarming. There is noticeable nail swelling."
